_id,count_id,count_date,location_name,longitude,latitude,centreline_type,centreline_id,px,count_duration,total_vehicle,total_bike,total_heavy_pct,total_pedestrian,am_peak_start,am_peak_vehicle,am_peak_bike,am_peak_heavy_pct,pm_peak_start,pm_peak_vehicle,pm_peak_bike,pm_peak_heavy_pct,n_appr_vehicle,n_appr_bike,n_appr_heavy_pct,e_appr_vehicle,e_appr_bike,e_appr_heavy_pct,s_appr_vehicle,s_appr_bike,s_appr_heavy_pct,w_appr_vehicle,w_appr_bike,w_appr_heavy_pct
1,115494,2026-02-04,Queen St E / Hiltz Ave,-79.326211470003,43.6641640728849,2,13464335,,14,9383,100,0.06,1564,2026-02-04T08:00:00,1073,4,0.054,2026-02-04T16:45:00,978,14,0.036,288,2,0.007,4431,62,0.062,0,0,0,4664,36,0.061
2,115500,2026-02-04,Acacia Rd / Millwood Rd (South),-79.390016816676,43.700725288956,2,13458047,,14,3798,8,0.021,507,2026-02-04T08:15:00,359,0,0.031,2026-02-04T16:00:00,408,0,0.017,1426,4,0.025,0,0,0,1459,3,0.021,913,1,0.013
3,115414,2026-02-04,Blantyre Ave / Swanwick Ave,-79.2833201382288,43.6858906550957,2,13460403,,14,2657,14,0.013,422,2026-02-04T08:00:00,377,0,0.019,2026-02-04T15:15:00,264,0,0.011,1098,5,0.015,0,0,0,1104,6,0.009,455,3,0.018
4,115486,2026-02-04,Ellesmere Rd / Mornelle Crt,-79.1954330503901,43.7848302638409,2,13445113,,14,17060,3,0.059,287,2026-02-04T08:00:00,1718,0,0.055,2026-02-04T17:15:00,1511,1,0.033,1751,0,0.031,8099,3,0.063,0,0,0,7210,0,0.061
5,115498,2026-02-04,Acacia Rd / Millwood Rd (North),-79.3899059850741,43.7011392231683,2,13457991,,14,3407,16,0.019,452,2026-02-04T08:30:00,339,0,0.027,2026-02-04T16:15:00,315,0,0.019,821,7,0.015,1149,3,0.019,1437,6,0.021,0,0,0
6,115502,2026-02-04,Mount Pleasant Rd / Millwood Rd,-79.3874950278364,43.701645456951,2,13457908,,14,22494,54,0.027,2161,2026-02-04T07:30:00,1839,1,0.029,2026-02-04T17:15:00,2044,9,0.014,9618,20,0.023,855,7,0.023,10914,23,0.03,1107,4,0.029
7,115492,2026-02-04,Greenwood Ave / Dorothy St,-79.3259932068986,43.666073221264,2,13463995,,14,5345,31,0.047,890,2026-02-04T08:15:00,483,6,0.058,2026-02-04T17:00:00,527,1,0.027,2454,17,0.055,0,0,0,2743,12,0.042,148,2,0.014
8,115496,2026-02-04,Greenwood Ave / Walpole Ave,-79.3293103144034,43.6740655780827,2,13462668,,14,9446,46,0.037,581,2026-02-04T08:15:00,878,6,0.063,2026-02-04T17:15:00,922,4,0.022,4453,24,0.041,1128,5,0.023,3865,17,0.038,0,0,0
9,115495,2026-02-04,Greenwood Ave / Wagstaff Dr,-79.3292361206629,43.6738804901032,2,20057486,,14,8436,58,0.039,1024,2026-02-04T08:00:00,777,6,0.059,2026-02-04T17:00:00,820,7,0.018,4413,33,0.042,0,0,0,3894,23,0.035,129,2,0.031
10,115478,2026-02-03,Sheppard Ave E / Conlins Rd,-79.1900844238224,43.8041946924047,2,13442883,2074,14,19520,3,0.038,142,2026-02-03T08:00:00,1874,0,0.043,2026-02-03T17:00:00,1918,0,0.018,505,0,0.004,8084,2,0.04,2463,0,0.02,8468,1,0.042
