count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,intervals_in_count,total_vehicle_day,total_pedestrian_day,total_bike_day,avg_vehicle_per_15min,peak_hour_start,peak_hour_vehicle,north_vehicle_day,east_vehicle_day,south_vehicle_day,west_vehicle_day,left_turn_vehicle_day,through_vehicle_day,right_turn_vehicle_day
39337,2020-01-08,Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,3_leg,"N,E,S",W,1,1,1,0,32,8071,3040,42,252.219,2020-01-08 17:00,1200,3623,629,3819,0,672,6680,719
39339,2020-01-22,Islington Ave / Market Garden Mews,43.6229026262144,-79.5144458594849,3_leg,"N,E,S",W,1,1,1,0,32,19243,82,2,601.344,2020-01-22 08:00,2843,9501,89,9653,0,0,18264,979
39341,2020-01-14,Indian Valley Cres / Indian Grv,43.6512003581722,-79.4570868491097,3_leg,"N,S,W",E,1,0,1,1,32,516,29,4,16.125,2020-01-14 08:00,135,164,0,139,213,73,239,204
39343,2020-01-15,St John's Rd / Brookside Ave,43.6614517348845,-79.4921372213205,3_leg,"N,E,W",S,1,1,0,1,32,864,450,5,27.0,2020-01-15 08:00,231,181,392,0,291,225,465,174
39471,2020-01-28,Lascelles Blvd / Gormley Ave,43.6942783903337,-79.3992065761766,3_leg,"N,E,W",S,1,1,0,1,32,328,146,3,10.25,2020-01-28 17:00,64,76,104,0,148,78,197,53
39473,2020-01-30,Wicksteed Ave / Leslie St,43.7128463763755,-79.3506191254911,4_leg,"N,E,S,W",,1,1,1,1,32,4540,64,4,141.875,2020-01-30 17:00,755,808,1953,71,1708,835,2675,1030
39475,2020-02-05,Cheritan Ave / Duplex Ave,43.7227270014233,-79.4049457848502,4_leg,"N,E,S,W",,1,1,1,1,32,4272,396,16,133.5,2020-02-05 08:00,712,1919,196,1905,252,373,3488,411
39477,2020-01-15,Somerset Ave / Geary Ave,43.6711989427194,-79.4307588142145,3_leg,"N,E,W",S,1,1,0,1,32,1573,21,59,49.156,2020-01-15 17:00,285,32,616,0,925,130,1328,115
39479,2020-01-15,Geary Ave / Delaware Ave N,43.670949855184,-79.4319533703381,3_leg,"N,E,W",S,1,1,0,1,32,1565,145,65,48.906,2020-01-15 17:00,276,26,537,0,1002,100,1392,73
39481,2020-01-15,Geary Ave / Westmoreland Ave N,43.670463251101,-79.434368184147,2_leg_EW,"E,W","N,S",0,1,0,1,32,2966,35,57,92.688,2020-01-15 08:00,513,0,1229,0,1737,136,2708,122
39483,2020-01-15,Geary Ave / Salem Ave N / Hydro Corridor,43.67021400876,-79.4355786457296,3_leg,"N,E,W",S,1,1,0,1,32,3008,41,56,94.0,2020-01-15 08:00,502,296,1120,0,1592,146,2712,150
39485,2020-01-15,Geary Ave / Bartlett Ave N,43.6699655999076,-79.4367894560363,4_leg,"N,E,S,W",,1,1,1,1,32,3434,442,54,107.312,2020-01-15 08:00,598,19,1266,225,1924,369,2602,463
39487,2020-01-15,Bristol Ave / Geary Ave,43.6697206492729,-79.4380436918511,3_leg,"N,E,W",S,1,1,0,1,32,3186,294,31,99.562,2020-01-15 08:00,584,335,1073,0,1778,234,2791,161
39489,2020-01-15,Lightbourn Ave / Geary Ave,43.6689796205375,-79.4423030287589,3_leg,"N,E,W",S,1,1,0,1,32,793,95,6,24.781,2020-01-15 16:00,137,280,380,0,133,270,178,345
39491,2020-01-15,Ossington Ave / Geary Ave,43.6714341642127,-79.4295926624469,4_leg,"N,E,S,W",,1,1,1,1,32,6680,264,55,208.75,2020-01-15 08:00,1063,2639,211,2993,837,620,5188,872
39493,2020-01-15,Dovercourt Rd / Geary Ave,43.6707094705104,-79.4331514659318,4_leg,"N,E,S,W",,1,1,1,1,32,7043,408,79,220.094,2020-01-15 08:00,1108,2527,482,2419,1615,917,4871,1255
39495,2020-01-15,Dufferin St / Geary Ave,43.6694244280439,-79.4394275664324,4_leg,"N,E,S,W",,1,1,1,1,32,14734,585,48,460.438,2020-01-15 17:00,2473,7371,1155,5877,331,1732,11495,1507
39655,2020-03-10,Weston Rd / John St,43.7006005259821,-79.5177904293,3_leg,"N,E,S",W,1,1,1,0,32,7388,1966,14,230.875,2020-03-10 17:00,1155,3796,476,3116,0,485,6399,504
