count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,total_vehicle_day_raw_derived,total_pedestrian_day_raw_derived,total_bike_day_raw_derived,summary_total_vehicle,summary_total_pedestrian,summary_total_bike,summary_count_duration_hr,summary_am_peak_start,summary_am_peak_vehicle,summary_pm_peak_start,summary_pm_peak_vehicle,is_most_recent_for_location
39337,2020-01-08,Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,3_leg,"N,E,S",W,1,1,1,0,8071,3040,42,8071,3040,42,8R,2020-01-08T08:00:00,939,2020-01-08T16:30:00,1219,0
39339,2020-01-22,Islington Ave / Market Garden Mews,43.6229026262144,-79.5144458594849,3_leg,"N,E,S",W,1,1,1,0,19243,82,2,19243,82,2,8R,2020-01-22T08:00:00,2843,2020-01-22T16:00:00,2683,1
39341,2020-01-14,Indian Valley Cres / Indian Grv,43.6512003581722,-79.4570868491097,3_leg,"N,S,W",E,1,0,1,1,516,29,4,516,29,4,8R,2020-01-14T08:30:00,144,2020-01-14T14:00:00,55,1
39343,2020-01-15,St John's Rd / Brookside Ave,43.6614517348845,-79.4921372213205,3_leg,"N,E,W",S,1,1,0,1,864,450,5,864,450,5,8S,2020-01-15T08:00:00,231,2020-01-15T14:45:00,152,1
39471,2020-01-28,Lascelles Blvd / Gormley Ave,43.6942783903337,-79.3992065761766,3_leg,"N,E,W",S,1,1,0,1,328,146,3,328,146,3,8R,2020-01-28T08:15:00,51,2020-01-28T17:00:00,64,1
39473,2020-01-30,Wicksteed Ave / Leslie St,43.7128463763755,-79.3506191254911,4_leg,"N,E,S,W",,1,1,1,1,4540,64,4,4540,64,4,8R,2020-01-30T08:15:00,481,2020-01-30T16:15:00,757,1
39475,2020-02-05,Cheritan Ave / Duplex Ave,43.7227270014233,-79.4049457848502,4_leg,"N,E,S,W",,1,1,1,1,4272,396,16,4272,396,16,8S,2020-02-05T08:00:00,712,2020-02-05T16:30:00,699,0
39477,2020-01-15,Somerset Ave / Geary Ave,43.6711989427194,-79.4307588142145,3_leg,"N,E,W",S,1,1,0,1,1573,21,59,1573,21,59,8R,2020-01-15T08:30:00,281,2020-01-15T16:45:00,287,1
39479,2020-01-15,Geary Ave / Delaware Ave N,43.670949855184,-79.4319533703381,3_leg,"N,E,W",S,1,1,0,1,1565,145,65,1565,145,65,8R,2020-01-15T08:15:00,284,2020-01-15T16:45:00,278,1
39481,2020-01-15,Geary Ave / Westmoreland Ave N,43.670463251101,-79.434368184147,2_leg_EW,"E,W","N,S",0,1,0,1,2966,35,57,2966,35,57,8R,2020-01-15T08:15:00,550,2020-01-15T16:45:00,502,1
39483,2020-01-15,Geary Ave / Salem Ave N / Hydro Corridor,43.67021400876,-79.4355786457296,3_leg,"N,E,W",S,1,1,0,1,3008,41,56,3008,41,56,8R,2020-01-15T08:15:00,546,2020-01-15T16:45:00,512,1
39485,2020-01-15,Geary Ave / Bartlett Ave N,43.6699655999076,-79.4367894560363,4_leg,"N,E,S,W",,1,1,1,1,3434,442,54,3434,442,54,8R,2020-01-15T08:00:00,598,2020-01-15T16:45:00,593,1
39487,2020-01-15,Bristol Ave / Geary Ave,43.6697206492729,-79.4380436918511,3_leg,"N,E,W",S,1,1,0,1,3186,294,31,3186,294,31,8R,2020-01-15T08:00:00,584,2020-01-15T17:00:00,544,1
39489,2020-01-15,Lightbourn Ave / Geary Ave,43.6689796205375,-79.4423030287589,3_leg,"N,E,W",S,1,1,0,1,793,95,6,793,95,6,8R,2020-01-15T08:15:00,113,2020-01-15T16:30:00,146,1
39491,2020-01-15,Ossington Ave / Geary Ave,43.6714341642127,-79.4295926624469,4_leg,"N,E,S,W",,1,1,1,1,6680,264,55,6680,264,55,8R,2020-01-15T08:15:00,1095,2020-01-15T16:45:00,1001,0
39493,2020-01-15,Dovercourt Rd / Geary Ave,43.6707094705104,-79.4331514659318,4_leg,"N,E,S,W",,1,1,1,1,7043,408,79,7043,408,79,8R,2020-01-15T08:15:00,1185,2020-01-15T16:45:00,1074,1
39495,2020-01-15,Dufferin St / Geary Ave,43.6694244280439,-79.4394275664324,4_leg,"N,E,S,W",,1,1,1,1,14734,585,48,14734,585,48,8R,2020-01-15T08:00:00,2157,2020-01-15T17:00:00,2473,0
39655,2020-03-10,Weston Rd / John St,43.7006005259821,-79.5177904293,3_leg,"N,E,S",W,1,1,1,0,7388,1966,14,7388,1966,14,8R,2020-03-10T08:15:00,970,2020-03-10T17:00:00,1155,1
39555,2020-02-11,Cummer Ave / Fleming Dr,43.7940780066153,-79.3858861806395,3_leg,"N,E,W",S,1,1,0,1,4609,42,2,4609,42,2,8S,2020-02-11T08:00:00,713,2020-02-11T16:45:00,866,1
39557,2020-02-06,Bloor St W / Oakmount Rd,43.6541996708418,-79.4623409357521,3_leg,"N,E,W",S,1,1,0,1,10978,681,33,10978,681,33,8R,2020-02-06T08:00:00,1607,2020-02-06T16:45:00,1886,0
39559,2020-02-06,Paulson Rd / Trethewey Dr,43.6937073727401,-79.4822456243512,3_leg,"N,E,W",S,1,1,0,1,7998,120,1,7998,120,1,8R,2020-02-06T08:00:00,1215,2020-02-06T16:45:00,1365,0
